,time,tried,color,encoder_value,target_encoder_value,fired
0,33.5691933631897,True,green,1670215,1670149,1
1,37.01863884925842,True,purple,1682243,1682240,1
2,40.51901578903198,True,green,1694628,1694602,1
3,43.603482723236084,True,red,1705541,1705538,1
4,46.7035276889801,True,red,1716289,1716226,1
5,52.91891312599182,True,blue,1738082,1738062,1
6,53.288504123687744,True,gold,1739350,1739298,1
7,58.90379357337952,True,blue,1759034,1759026,1
8,59.23726963996887,True,blue,1760194,1760166,1
9,158.82134294509888,True,purple,2109774,2109704,1
10,159.40461540222168,True,purple,2111804,2111787,1
11,159.9714379310608,True,purple,2113668,2113623,1
12,160.17137598991394,True,purple,2114391,2114343,1
13,160.83836793899536,True,green,2116755,2116700,1
14,161.07150077819824,True,red,2117605,2117554,1
15,161.26664113998413,True,gold,2118287,2117745,1
16,161.43659448623657,True,gold,2118890,2117978,1
17,161.61637020111084,True,gold,2119535,2118304,1
18,162.47150301933289,True,gold,2122555,2122527,1
19,163.65498900413513,True,purple,2126711,2126693,1
20,163.82579278945923,True,gold,2127369,2126797,1
21,165.13825345039368,True,red,2131941,2131927,1
22,165.47173690795898,True,green,2133094,2133052,1
23,166.20490431785583,True,blue,2135647,2135620,1
24,167.7387969493866,True,gold,2141052,2141004,1
25,168.70477676391602,True,blue,2144376,2144339,1
26,169.8717679977417,True,red,2148570,2148564,1
27,171.58895611763,True,red,2154527,2154524,1
28,171.87243700027466,True,blue,2155499,2155492,1
29,173.10678577423096,True,blue,2159890,2159881,1
30,173.38914942741394,True,purple,2160922,2160916,1
31,173.82168698310852,True,purple,2162385,2162322,1
32,174.4562633037567,True,gold,2164565,2164534,1
33,174.8894383907318,True,purple,2166088,2166017,1
34,175.322749376297,True,blue,2167671,2167607,1
35,176.75619959831238,True,green,2172609,2172601,1
36,176.92685437202454,True,red,2173249,2172731,1
37,177.47307968139648,True,purple,2175110,2175048,1
38,178.1061828136444,True,purple,2177394,2177370,1
39,180.20553636550903,True,purple,2184792,2184784,1
40,181.00611209869385,True,purple,2187611,2187594,1
41,181.72343349456787,True,gold,2190084,2190011,1
42,183.85492277145386,True,blue,2197600,2197561,1
43,184.52292609214783,True,purple,2199872,2199847,1
44,185.95699214935303,True,gold,2204918,2204882,1
45,186.1264476776123,True,green,2205514,2205158,1
46,186.65501070022583,True,gold,2207400,2207372,1
47,186.82662987709045,True,blue,2207971,2207569,1
48,186.98691272735596,True,gold,2208503,2208256,1
49,187.16520929336548,True,gold,2209069,2209047,1
50,187.32844591140747,True,gold,2209658,2209500,1
51,187.51716899871826,True,gold,2210269,2209839,1
52,189.07263588905334,True,purple,2215911,2215855,1
53,189.23734617233276,True,red,2216470,2216225,1
